"Plant Family","Number of Tests","Number of Studies"
"Amaranthaceae","28","2"
"Amaryllidaceae","60","1"
"Anacardiaceae","8","1"
"Araceae","48","1"
"Asparagaceae","38","2"
"Asteraceae","48","7"
"Boraginaceae","6","1"
"Brassicaceae","279","15"
"Caryophyllaceae","8","1"
"Chenopodioideae","4","1"
"Cistaceae","4","1"
"Cleomaceae","4","1"
"Convolvulaceae","1","1"
"Cucurbitaceae","3","1"
"Cyperaceae","1","1"
"Ericaceae","1","1"
"Fabaceae","113","15"
"Fagaceae","1","1"
"Geraniaceae","6","2"
"Hypericaceae","8","1"
"Iridaceae","8","1"
"Lamiaceae","6","1"
"Lythraceae","3","1"
"Malvaceae","6","1"
"Orchidaceae","8","2"
"Orobanchaceae","3","1"
"Papaveraceae","4","1"
"Pinaceae","54","2"
"Plantaginaceae","4","2"
"Poaceae","219","14"
"Polygonaceae","4","1"
"Rosaceae","74","3"
"Solanaceae","45","5"
