WOS relevance rank,Authors,Article Title,Source Title,Publication Year,Volume,Issue,DOI,Relevant? Y/N,micrlocfull,micrtax,otherPhenMicrLink,MicrobesAffectPhenology,manipulationtype,inoctype,phentrait,phentrait_of,anyeffect,SelectionOnPlantMeasured,FitnessComponent,RawDataAvailable,Notes
494,"Yguel, B; Courty, PE; Jactel, H; Pan, X; Butenschoen, O; Murray, PJ; Prinzing, A",Mycorrhizae support oaks growing in a phylogenetically distant neighbourhood,SOIL BIOLOGY & BIOCHEMISTRY,2014,78,,10.1016/j.soilbio.2014.08.003,y,root,MF,n,y,observed,community,budburst,budburst,y,n,,n,
81,"Scagel, CF",Soil pasteurization and inoculation with Glomus intraradices alters flower production and bulb composition of Zephyranthes spp.,JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,2003,78,6,10.1080/14620316.2003.11511702,y,root,MF; mixed,n,y,culture; removed,strain; community,budburst; floral bud duration; floral budset time; flowering time; flowering duration,budburst; other flowering event; flowering time,y,n,only one genotype per species,n,
106,"Scagel, CF; Schreiner, RP","Phosphorus supply alters tuber composition, flower production, and mycorrhizal responsiveness of container-grown hybrid Zantedeschia",PLANT AND SOIL,2006,283,1-2,10.1007/s11104-006-0022-3,y,root,MF,n,y,culture,strain,budburst; flowering time; flowering duration; peak flowering; flower senescence time; phyllochron,budburst; flowering time; other flowering event; phyllochron,y,n,"number of shoots, tuber biomass, number of flowers",,
373,"Pinedo, I; Ledger, T; Greve, M; Poupin, MJ",Burkholderia phytofirmans PsJN induces long-term metabolic and transcriptional changes involved in Arabidopsis thaliana salt tolerance,FRONTIERS IN PLANT SCIENCE,2015,6,,10.3389/fpls.2015.00466,y,root,bacteria,n,y,culture,strain,floral budset time,other flowering event,y,almost,number of fruits,n,
458,"Luo, Y; Wang, F; Huang, YL; Zhou, M; Gao, JL; Yan, TZ; Sheng, HM; An, LZ",Sphingomonas sp. Cra20 Increases Plant Growth Rate and Alters Rhizosphere Microbial Community Structure of Arabidopsis thaliana Under Drought Stress,FRONTIERS IN MICROBIOLOGY,2019,10,,10.3389/fmicb.2019.01221,y,root,bacteria,n,y,culture,strain,floral budset time; phyllochron,other flowering event; phyllochron,y,almost,growth,n,
1,"Panke-Buisse, K; Lee, S; Kao-Kniffin, J",Cultivated Sub-Populations of Soil Microbiomes Retain Early Flowering Plant Trait,MICROBIAL ECOLOGY,2017,73,2,10.1007/s00248-016-0846-1,y,root,mixed,n,y,culture,community,flowering time,flowering time,y,n,,n,"same as Panke-buisse et al 2014, retention of microbial effect or not via different preservation methods"
2,"Wagner, MR; Lundberg, DS; Coleman-Derr, D; Tringe, SG; Dangl, JL; Mitchell-Olds, T",Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative,ECOLOGY LETTERS,2014,17,6,10.1111/ele.12276,y,root,mixed,n,y,direct,community,flowering time,flowering time,y,y,fruit number,y,
3,"Lu, T; Ke, MJ; Lavoie, M; Jin, YJ; Fan, XJ; Zhang, ZY; Fu, ZW; Sun, LW; Gillings, M; Penuelas, J; Qian, HF; Zhu, YG",Rhizosphere microorganisms can influence the timing of plant flowering,MICROBIOME,2018,6,,10.1186/s40168-018-0615-0,y,root,mixed,n,y,culture; direct,community,flowering time,flowering time,y,n,,n,
6,"Zahn, G; Amend, AS",Foliar fungi alter reproductive timing and allocation in Arabidopsis under normal and water-stressed conditions,FUNGAL ECOLOGY,2019,41,,10.1016/j.funeco.2019.04.002,y,shoot,fungi,n,y,culture,strain; strain mix,flowering time,flowering time,y,n,,y,
10,"Panke-Buisse, K; Poole, AC; Goodrich, JK; Ley, RE; Kao-Kniffin, J",Selection on soil microbiomes reveals reproducible impacts on plant function,ISME JOURNAL,2015,9,4,10.1038/ismej.2014.196,y,root,mixed,n,y,culture; direct,community,flowering time,flowering time,y,n,,n,
41,"Thakur, RN; Arya, PS; Thakur, SK","Response of french bean (Phaseolus vulgaris) varieties to fertilizer levels, Rhizobium inoculation and their residual effect on onion (Allium cepa) in mid-hills of north-western Himalayas",INDIAN JOURNAL OF AGRICULTURAL SCIENCES,1999,69,6,,y,root,bacteria,n,y,culture,strain,flowering time,flowering time,y,n,,n,full-text inaccessible
42,"Xie, MM; Wu, QS",Arbuscular mycorrhizal fungi regulate flowering of hyacinths orientalis I. Anna marie,EMIRATES JOURNAL OF FOOD AND AGRICULTURE,2018,30,2,10.9755/ejfa.2018.v30.i2.1614,y,root,MF,n,y,culture,strain,flowering time,flowering time,y,n,,n,
57,"Sohn, BK; Kim, KY; Chung, SJ; Kim, WS; Park, SM; Kang, JG; Rim, YS; Cho, JS; Kim, TH; Lee, JH",Effect of the different timing of AMF inoculation on plant growth and flower quality of chrysanthemum,SCIENTIA HORTICULTURAE,2003,98,2,10.1016/S0304-4238(02)00210-8,y,root,MF,n,y,culture,strain mix,flowering time,flowering time,y,n,leaf nutrients,y,
64,"Chaney, L; Baucomn, RS",The soil microbial community alters patterns of selection on flowering time and fitness-related traits in Ipomoea purpurea,AMERICAN JOURNAL OF BOTANY,2020,107,2,10.1002/ajb2.1426,y,root,mixed,n,y,direct,community,flowering time,flowering time,n,y,number of flowers,y,
