WOS relevance rank,Authors,Article Title,Source Title,Publication Year,Volume,Issue,DOI,plant.species,plant.family,lifeform,mating,microbeNPHO,micrlocfull,micrloc,micrtax,manipulationtype,inoctype,phentrait,anyeffect,direction.effect.split,StateRelativeTo,treatment
1,"Panke-Buisse, K; Lee, S; Kao-Kniffin, J",Cultivated Sub-Populations of Soil Microbiomes Retain Early Flowering Plant Trait,MICROBIAL ECOLOGY,2017,73,2,10.1007/s00248-016-0846-1,Arabidopsis thaliana,Brassicaceae,annual,selfer,unknown,root,root,mixed,culture,community,flowering time,y,earlier,without focal microbe,with bacterial isolate
1,"Panke-Buisse, K; Lee, S; Kao-Kniffin, J",Cultivated Sub-Populations of Soil Microbiomes Retain Early Flowering Plant Trait,MICROBIAL ECOLOGY,2017,73,2,10.1007/s00248-016-0846-1,Arabidopsis thaliana,Brassicaceae,annual,selfer,unknown,root,root,mixed,culture,community,flowering time,y,none,without focal microbe,community inoculation
1,"Panke-Buisse, K; Lee, S; Kao-Kniffin, J",Cultivated Sub-Populations of Soil Microbiomes Retain Early Flowering Plant Trait,MICROBIAL ECOLOGY,2017,73,2,10.1007/s00248-016-0846-1,Arabidopsis thaliana,Brassicaceae,annual,selfer,unknown,root,root,mixed,direct,community,flowering time,y,earlier,without focal microbe,with bacterial isolate
2,"Wagner, MR; Lundberg, DS; Coleman-Derr, D; Tringe, SG; Dangl, JL; Mitchell-Olds, T",Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative,ECOLOGY LETTERS,2014,17,6,10.1111/ele.12276,Boechera stricta,Brassicaceae,perennial,selfer,unknown,root,root,mixed,direct,community,flowering time,y,delayed,without focal microbe,sbsp E; jam
2,"Wagner, MR; Lundberg, DS; Coleman-Derr, D; Tringe, SG; Dangl, JL; Mitchell-Olds, T",Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative,ECOLOGY LETTERS,2014,17,6,10.1111/ele.12276,Boechera stricta,Brassicaceae,perennial,selfer,unknown,root,root,mixed,direct,community,flowering time,y,none,without focal microbe,sbsp E; mah
2,"Wagner, MR; Lundberg, DS; Coleman-Derr, D; Tringe, SG; Dangl, JL; Mitchell-Olds, T",Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative,ECOLOGY LETTERS,2014,17,6,10.1111/ele.12276,Boechera stricta,Brassicaceae,perennial,selfer,unknown,root,root,mixed,direct,community,flowering time,y,earlier,without focal microbe,sbsp E; par
2,"Wagner, MR; Lundberg, DS; Coleman-Derr, D; Tringe, SG; Dangl, JL; Mitchell-Olds, T",Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative,ECOLOGY LETTERS,2014,17,6,10.1111/ele.12276,Boechera stricta,Brassicaceae,perennial,selfer,unknown,root,root,mixed,direct,community,flowering time,y,none,without focal microbe,sbsp E; sil
2,"Wagner, MR; Lundberg, DS; Coleman-Derr, D; Tringe, SG; Dangl, JL; Mitchell-Olds, T",Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative,ECOLOGY LETTERS,2014,17,6,10.1111/ele.12276,Boechera stricta,Brassicaceae,perennial,selfer,unknown,root,root,mixed,direct,community,flowering time,y,none,without focal microbe,sbsp W; jam
2,"Wagner, MR; Lundberg, DS; Coleman-Derr, D; Tringe, SG; Dangl, JL; Mitchell-Olds, T",Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative,ECOLOGY LETTERS,2014,17,6,10.1111/ele.12276,Boechera stricta,Brassicaceae,perennial,selfer,unknown,root,root,mixed,direct,community,flowering time,y,delayed,without focal microbe,sbsp W; mah
2,"Wagner, MR; Lundberg, DS; Coleman-Derr, D; Tringe, SG; Dangl, JL; Mitchell-Olds, T",Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative,ECOLOGY LETTERS,2014,17,6,10.1111/ele.12276,Boechera stricta,Brassicaceae,perennial,selfer,unknown,root,root,mixed,direct,community,flowering time,y,none,without focal microbe,sbsp W; par
2,"Wagner, MR; Lundberg, DS; Coleman-Derr, D; Tringe, SG; Dangl, JL; Mitchell-Olds, T",Natural soil microbes alter flowering phenology and the intensity of selection on flowering time in a wild Arabidopsis relative,ECOLOGY LETTERS,2014,17,6,10.1111/ele.12276,Boechera stricta,Brassicaceae,perennial,selfer,unknown,root,root,mixed,direct,community,flowering time,y,delayed,without focal microbe,sbsp W; sil
3,"Lu, T; Ke, MJ; Lavoie, M; Jin, YJ; Fan, XJ; Zhang, ZY; Fu, ZW; Sun, LW; Gillings, M; Penuelas, J; Qian, HF; Zhu, YG",Rhizosphere microorganisms can influence the timing of plant flowering,MICROBIOME,2018,6,,10.1186/s40168-018-0615-0,Arabidopsis thaliana (WT),Brassicaceae,annual,selfer,nutrients,root,root,mixed,culture; direct,community,flowering time,y,delayed,another microbe treatment,selected community inoculation
3,"Lu, T; Ke, MJ; Lavoie, M; Jin, YJ; Fan, XJ; Zhang, ZY; Fu, ZW; Sun, LW; Gillings, M; Penuelas, J; Qian, HF; Zhu, YG",Rhizosphere microorganisms can influence the timing of plant flowering,MICROBIOME,2018,6,,10.1186/s40168-018-0615-0,Arabidopsis thaliana pnsB4 mutant,Brassicaceae,annual,selfer,nutrients,root,root,mixed,culture; direct,community,flowering time,y,delayed,another microbe treatment,selected community inoculation
3,"Lu, T; Ke, MJ; Lavoie, M; Jin, YJ; Fan, XJ; Zhang, ZY; Fu, ZW; Sun, LW; Gillings, M; Penuelas, J; Qian, HF; Zhu, YG",Rhizosphere microorganisms can influence the timing of plant flowering,MICROBIOME,2018,6,,10.1186/s40168-018-0615-0,Arabidopsis thaliana pgr5 mutant,Brassicaceae,annual,selfer,nutrients,root,root,mixed,culture; direct,community,flowering time,y,delayed,another microbe treatment,selected community inoculation
4,"Jin, ZX; Li, J,M; Li, YL",Interactive Effects of Arbuscular Mycorrhizal Fungi and Copper Stress on Flowering Phenology and Reproduction of Elsholtzia splendens,PLOS ONE,2015,10,12,10.1371/journal.pone.0145793,Elsholtzia splendens,Lamiaceae,annual,unk,other beneficial,root,root,mixed,direct,community,flowering duration,y,expanded,without focal microbe,no copper
4,"Jin, ZX; Li, J,M; Li, YL",Interactive Effects of Arbuscular Mycorrhizal Fungi and Copper Stress on Flowering Phenology and Reproduction of Elsholtzia splendens,PLOS ONE,2015,10,12,10.1371/journal.pone.0145793,Elsholtzia splendens,Lamiaceae,annual,unk,other beneficial,root,root,mixed,direct,community,flowering duration,y,expanded,without focal microbe,copper
4,"Jin, ZX; Li, J,M; Li, YL",Interactive Effects of Arbuscular Mycorrhizal Fungi and Copper Stress on Flowering Phenology and Reproduction of Elsholtzia splendens,PLOS ONE,2015,10,12,10.1371/journal.pone.0145793,Elsholtzia splendens,Lamiaceae,annual,unk,other beneficial,root,root,mixed,direct,community,flowering time,y,earlier,without focal microbe,no copper
4,"Jin, ZX; Li, J,M; Li, YL",Interactive Effects of Arbuscular Mycorrhizal Fungi and Copper Stress on Flowering Phenology and Reproduction of Elsholtzia splendens,PLOS ONE,2015,10,12,10.1371/journal.pone.0145793,Elsholtzia splendens,Lamiaceae,annual,unk,other beneficial,root,root,mixed,direct,community,flowering time,y,earlier,without focal microbe,copper
4,"Jin, ZX; Li, J,M; Li, YL",Interactive Effects of Arbuscular Mycorrhizal Fungi and Copper Stress on Flowering Phenology and Reproduction of Elsholtzia splendens,PLOS ONE,2015,10,12,10.1371/journal.pone.0145793,Elsholtzia splendens,Lamiaceae,annual,unk,other beneficial,root,root,mixed,direct,community,peak flowering,y,none,without focal microbe,no copper
4,"Jin, ZX; Li, J,M; Li, YL",Interactive Effects of Arbuscular Mycorrhizal Fungi and Copper Stress on Flowering Phenology and Reproduction of Elsholtzia splendens,PLOS ONE,2015,10,12,10.1371/journal.pone.0145793,Elsholtzia splendens,Lamiaceae,annual,unk,other beneficial,root,root,mixed,direct,community,peak flowering,y,none,without focal microbe,copper
6,"Zahn, G; Amend, AS",Foliar fungi alter reproductive timing and allocation in Arabidopsis under normal and water-stressed conditions,FUNGAL ECOLOGY,2019,41,,10.1016/j.funeco.2019.04.002,Arabidopsis thaliana,Brassicaceae,annual,selfer,other beneficial,shoot,shoot,otherfungi,culture,strain,flowering time,y,delayed,without focal microbe,strain A alone; water norm
6,"Zahn, G; Amend, AS",Foliar fungi alter reproductive timing and allocation in Arabidopsis under normal and water-stressed conditions,FUNGAL ECOLOGY,2019,41,,10.1016/j.funeco.2019.04.002,Arabidopsis thaliana,Brassicaceae,annual,selfer,other beneficial,shoot,shoot,otherfungi,culture,strain,flowering time,y,delayed,without focal microbe,strain B alone; water norm
6,"Zahn, G; Amend, AS",Foliar fungi alter reproductive timing and allocation in Arabidopsis under normal and water-stressed conditions,FUNGAL ECOLOGY,2019,41,,10.1016/j.funeco.2019.04.002,Arabidopsis thaliana,Brassicaceae,annual,selfer,other beneficial,shoot,shoot,otherfungi,culture,strain,flowering time,y,delayed,without focal microbe,strain C alone; water norm
6,"Zahn, G; Amend, AS",Foliar fungi alter reproductive timing and allocation in Arabidopsis under normal and water-stressed conditions,FUNGAL ECOLOGY,2019,41,,10.1016/j.funeco.2019.04.002,Arabidopsis thaliana,Brassicaceae,annual,selfer,other beneficial,shoot,shoot,otherfungi,culture,strain,flowering time,y,delayed,without focal microbe,strain D alone; water norm
6,"Zahn, G; Amend, AS",Foliar fungi alter reproductive timing and allocation in Arabidopsis under normal and water-stressed conditions,FUNGAL ECOLOGY,2019,41,,10.1016/j.funeco.2019.04.002,Arabidopsis thaliana,Brassicaceae,annual,selfer,other beneficial,shoot,shoot,otherfungi,culture,strain mix,flowering time,y,delayed,without focal microbe,strains AB; water norm
6,"Zahn, G; Amend, AS",Foliar fungi alter reproductive timing and allocation in Arabidopsis under normal and water-stressed conditions,FUNGAL ECOLOGY,2019,41,,10.1016/j.funeco.2019.04.002,Arabidopsis thaliana,Brassicaceae,annual,selfer,other beneficial,shoot,shoot,otherfungi,culture,strain mix,flowering time,y,delayed,without focal microbe,strains AC; water norm
6,"Zahn, G; Amend, AS",Foliar fungi alter reproductive timing and allocation in Arabidopsis under normal and water-stressed conditions,FUNGAL ECOLOGY,2019,41,,10.1016/j.funeco.2019.04.002,Arabidopsis thaliana,Brassicaceae,annual,selfer,other beneficial,shoot,shoot,otherfungi,culture,strain mix,flowering time,y,delayed,without focal microbe,strains AD; water norm
6,"Zahn, G; Amend, AS",Foliar fungi alter reproductive timing and allocation in Arabidopsis under normal and water-stressed conditions,FUNGAL ECOLOGY,2019,41,,10.1016/j.funeco.2019.04.002,Arabidopsis thaliana,Brassicaceae,annual,selfer,other beneficial,shoot,shoot,otherfungi,culture,strain mix,flowering time,y,delayed,without focal microbe,strains BC; water norm
