Publication Type,WOS relevance rank,ScorerInits,Authors,Article Title,Source Title,Publication Year,Volume,Issue,Relevant? Y/N,relevantpt2,Second opinion needed?,second opinion note,Plant species,who will split out individual effects in study,lifeform,mating,MicrobeMPH,micr.loc.raw,Micrloc.1,Micrloc.2,micrtax.raw,micrtax.sim1,micrtax.sim2,phen infl micr,phenology of microbes,culture.vsother,culture.sim,strainvcomm.raw,Strainvcomm.1,phen.trait.raw,phen.trait.2,anyeffect,direction.effect.split,direction.grouped,state.relative.too,treatment,reason/s for multiple directions of effects,selection.measured,What fitness components?,raw data available?,Notes,
J,109,MRG,"Poupin, MJ; Timmermann, T; Vega, A; Zuniga, A; Gonzalez, B",Effects of the Plant Growth-Promoting Bacterium Burkholderia phytofirmans PsJN throughout the Life Cycle of Arabidopsis thaliana,PLOS ONE,2013,8,7,y,y,n,,Arabidopsis thaliana,NG,annual,selfer,hormones,root,root; soil,root,bacteria (Burkholderia phytofirmans),bacteria,bacteria,n,y,culturing step,culture,strain,strain,flowering time,flowering time,y,earlier,earlier,without focal microbe,with bacterial isolate,,n,"growth rate, leaf area, seed ",,Has expression data,
J,109,MRG,"Poupin, MJ; Timmermann, T; Vega, A; Zuniga, A; Gonzalez, B",Effects of the Plant Growth-Promoting Bacterium Burkholderia phytofirmans PsJN throughout the Life Cycle of Arabidopsis thaliana,PLOS ONE,2013,8,7,y,y,n,,Arabidopsis thaliana,NG,annual,selfer,hormones,root,root; soil,root,bacteria (Burkholderia phytofirmans),bacteria,bacteria,n,y,culturing step,culture,strain,strain,senescence,senescence time,y,earlier,earlier,without focal microbe,with bacterial isolate,,n,"growth rate, leaf area, seed ",,Has expression data,
J,187,MRG,"Zavala-Gonzalez, EA; Rodriguez-Cazorla, E; Escudero, N; Aranda-Martinez, A; Martinez-Laborda, A; Ramirez-Lepe, M; Vera, A; Lopez-Llorca, LV",Arabidopsis thaliana root colonization by the nematophagous fungus Pochonia chlamydosporia is modulated by jasmonate signaling and leads to accelerated flowering and improved yield,NEW PHYTOLOGIST,2017,213,1,y,y,y,,Arabidopsis thaliana,NG,annual,selfer,hormones,Root,root,root,Pochonia chlamydosporia Pc399,fungi,fungi,y,y,culturing step,culture,Strain,strain,bolting,floral budset time,y,earlier,earlier ,without focal microbe,with isolate,,n,"biomass, seed production",,Really cool paper! ,
J,187,MRG,"Zavala-Gonzalez, EA; Rodriguez-Cazorla, E; Escudero, N; Aranda-Martinez, A; Martinez-Laborda, A; Ramirez-Lepe, M; Vera, A; Lopez-Llorca, LV",Arabidopsis thaliana root colonization by the nematophagous fungus Pochonia chlamydosporia is modulated by jasmonate signaling and leads to accelerated flowering and improved yield,NEW PHYTOLOGIST,2017,213,1,y,y,y,,Arabidopsis thaliana,NG,annual,selfer,hormones,Root,root,root,Pochonia chlamydosporia Pc123,fungi,fungi,y,y,culturing step,culture,Strain,strain,bolting,floral budset time,y,earlier,earlier ,without focal microbe,with isolate,,n,"biomass, seed production",,Really cool paper! Expression data,
J,187,MRG,"Zavala-Gonzalez, EA; Rodriguez-Cazorla, E; Escudero, N; Aranda-Martinez, A; Martinez-Laborda, A; Ramirez-Lepe, M; Vera, A; Lopez-Llorca, LV",Arabidopsis thaliana root colonization by the nematophagous fungus Pochonia chlamydosporia is modulated by jasmonate signaling and leads to accelerated flowering and improved yield,NEW PHYTOLOGIST,2017,213,1,y,y,y,,Arabidopsis thaliana,NG,annual,selfer,hormones,Root,root,root,Pochonia chlamydosporia Pc399,fungi,fungi,y,y,culturing step,culture,Strain,strain,first flower opening,flowering time,y,earlier,earlier ,without focal microbe,with isolate,,n,"biomass, seed production",,Really cool paper! ,
J,187,MRG,"Zavala-Gonzalez, EA; Rodriguez-Cazorla, E; Escudero, N; Aranda-Martinez, A; Martinez-Laborda, A; Ramirez-Lepe, M; Vera, A; Lopez-Llorca, LV",Arabidopsis thaliana root colonization by the nematophagous fungus Pochonia chlamydosporia is modulated by jasmonate signaling and leads to accelerated flowering and improved yield,NEW PHYTOLOGIST,2017,213,1,y,y,y,,Arabidopsis thaliana,NG,annual,selfer,hormones,Root,root,root,Pochonia chlamydosporia Pc123,fungi,fungi,y,y,culturing step,culture,Strain,strain,first flower opening,flowering time,y,earlier,earlier ,without focal microbe,with isolate,,n,"biomass, seed production",,Really cool paper! ,
J,266,AO,"Babalola, OO; Sanni, AI; Odhiambo, GD; Torto, B",Plant growth-promoting rhizobacteria do not pose any deleterious effect on cowpea and detectable amounts of ethylene are produced,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,2007,23,6,y,y,n,,Vigna unguiculata (Cowpea),NG,annual,selfie,hormones,rhizosphere,soil,root,Pseudomonas 44MS8,bacteria,bacteria,n,n,culture,direct,strains,strain,flowering time,flowering time,n,none,none,without focal microbe,with strains,,almost,fruit number; fruit mass,n,only three genotypes of plants so estimates of selection gradients would not have been great,
J,266,AO,"Babalola, OO; Sanni, AI; Odhiambo, GD; Torto, B",Plant growth-promoting rhizobacteria do not pose any deleterious effect on cowpea and detectable amounts of ethylene are produced,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,2007,23,6,y,y,n,,Vigna unguiculata (Cowpea),NG,annual,selfie,hormones,rhizosphere,soil,root,Pseudomonas 10M3,bacteria,bacteria,n,n,culture,direct,strains,strain,flowering time,flowering time,n,none,none,without focal microbe,with strains,,almost,fruit number; fruit mass,n,only three genotypes of plants so estimates of selection gradients would not have been great,
J,266,AO,"Babalola, OO; Sanni, AI; Odhiambo, GD; Torto, B",Plant growth-promoting rhizobacteria do not pose any deleterious effect on cowpea and detectable amounts of ethylene are produced,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,2007,23,6,y,y,n,,Vigna unguiculata (Cowpea),NG,annual,selfie,hormones,rhizosphere,soil,root,Enterbacter sakazakii 8MR5,bacteria,bacteria,n,n,culture,direct,strains,strain,flowering time,flowering time,n,none,none,without focal microbe,with bacterial isolate,,almost,fruit number; fruit mass,n,only three genotypes of plants so estimates of selection gradients would not have been great,
J,266,AO,"Babalola, OO; Sanni, AI; Odhiambo, GD; Torto, B",Plant growth-promoting rhizobacteria do not pose any deleterious effect on cowpea and detectable amounts of ethylene are produced,WORLD JOURNAL OF MICROBIOLOGY & BIOTECHNOLOGY,2007,23,6,y,y,n,,Striga hermonthica (witchweed),NG,annual,selfie,hormones,rhizosphere,soil,root,Pseudomonas 44MS8,bacteria,bacteria,n,n,culture,direct,strains,strain,germination,germination time,y,earlier,earlier (suicidal germination),without focal microbe,with bacterial isolate,,almost,fruit number; fruit mass,n,only three genotypes of plants so estimates of selection gradients would not have been great,
